1681668487.484840 client started (8382): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1681668487.484936 on Darwin 22.3.0 Darwin Kernel Version 22.3.0: Mon Jan 30 20:39:35 PST 2023; root:xnu-8792.81.3~2/RELEASE_ARM64_T8103
1681668487.484982 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.3
1681668487.485032 flags are 0x18010000
1681668487.485048 socket is /private/tmp/tmux-501/default
1681668487.485068 trying connect
1681668487.485286 add peer 0x118008000: 6 (0x0)
1681668487.489701 sending message 100 to peer 0x118008000 (4 bytes)
1681668487.489721 sending message 111 to peer 0x118008000 (8 bytes)
1681668487.489730 sending message 101 to peer 0x118008000 (15 bytes)
1681668487.489738 sending message 109 to peer 0x118008000 (4 bytes)
1681668487.489745 sending message 102 to peer 0x118008000 (13 bytes)
1681668487.489753 sending message 108 to peer 0x118008000 (34 bytes)
1681668487.489760 sending message 112 to peer 0x118008000 (58 bytes)
1681668487.489767 sending message 112 to peer 0x118008000 (5 bytes)
1681668487.489773 sending message 112 to peer 0x118008000 (5 bytes)
1681668487.489780 sending message 112 to peer 0x118008000 (6 bytes)
1681668487.489786 sending message 112 to peer 0x118008000 (6 bytes)
1681668487.489793 sending message 112 to peer 0x118008000 (11 bytes)
1681668487.489800 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.489806 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.489813 sending message 112 to peer 0x118008000 (14 bytes)
1681668487.489819 sending message 112 to peer 0x118008000 (19 bytes)
1681668487.489825 sending message 112 to peer 0x118008000 (11 bytes)
1681668487.489832 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.489838 sending message 112 to peer 0x118008000 (15 bytes)
1681668487.489845 sending message 112 to peer 0x118008000 (21 bytes)
1681668487.489851 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.489858 sending message 112 to peer 0x118008000 (7 bytes)
1681668487.489864 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.489870 sending message 112 to peer 0x118008000 (7 bytes)
1681668487.489877 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.489883 sending message 112 to peer 0x118008000 (9 bytes)
1681668487.489890 sending message 112 to peer 0x118008000 (21 bytes)
1681668487.489896 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.489902 sending message 112 to peer 0x118008000 (9 bytes)
1681668487.489909 sending message 112 to peer 0x118008000 (16 bytes)
1681668487.489916 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.489922 sending message 112 to peer 0x118008000 (9 bytes)
1681668487.489928 sending message 112 to peer 0x118008000 (9 bytes)
1681668487.489935 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.489941 sending message 112 to peer 0x118008000 (8 bytes)
1681668487.489948 sending message 112 to peer 0x118008000 (8 bytes)
1681668487.489954 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.489961 sending message 112 to peer 0x118008000 (7 bytes)
1681668487.489967 sending message 112 to peer 0x118008000 (7 bytes)
1681668487.489973 sending message 112 to peer 0x118008000 (9 bytes)
1681668487.489980 sending message 112 to peer 0x118008000 (9 bytes)
1681668487.489986 sending message 112 to peer 0x118008000 (15 bytes)
1681668487.489992 sending message 112 to peer 0x118008000 (13 bytes)
1681668487.489999 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490005 sending message 112 to peer 0x118008000 (8 bytes)
1681668487.490011 sending message 112 to peer 0x118008000 (14 bytes)
1681668487.490018 sending message 112 to peer 0x118008000 (11 bytes)
1681668487.490024 sending message 112 to peer 0x118008000 (9 bytes)
1681668487.490031 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490037 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490044 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490050 sending message 112 to peer 0x118008000 (10 bytes)
1681668487.490057 sending message 112 to peer 0x118008000 (11 bytes)
1681668487.490074 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490079 sending message 112 to peer 0x118008000 (12 bytes)
1681668487.490084 sending message 112 to peer 0x118008000 (12 bytes)
